Model Name,Model Type,Model Version,Date,Daily Volume,Performance Metrics,Company Name
Model 1,Multi-Class,"[1,2,3]",4/7/2022,"[1218, 1873, 1245]","[[0.71, 0.76, 0.81], [0.76, 0.81, 0.81], [0.78, 0.88, 0.93]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",4/8/2022,"[2014, 4559, 4492]","[[0.83, 0.91, 0.74], [0.86, 0.75, 0.89], [0.9, 0.81, 0.75]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",4/9/2022,"[2270, 4990, 3276]","[[0.81, 0.76, 0.8], [0.92, 0.8, 0.73], [0.8, 0.77, 0.86]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",4/10/2022,"[2050, 2839, 1278]","[[0.7, 0.91, 0.71], [0.92, 0.77, 0.81], [0.83, 0.83, 0.7]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",4/11/2022,"[3603, 3953, 4387]","[[0.84, 0.87, 0.78], [0.82, 0.9, 0.7], [0.94, 0.78, 0.87]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",4/12/2022,"[1229, 2061, 3359]","[[0.88, 0.93, 0.76], [0.76, 0.93, 0.81], [0.89, 0.81, 0.83]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",4/13/2022,"[2488, 4140, 1676]","[[0.76, 0.78, 0.88], [0.86, 0.87, 0.71], [0.85, 0.86, 0.73]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",4/14/2022,"[4503, 2565, 4537]","[[0.73, 0.76, 0.89], [0.76, 0.94, 0.86], [0.76, 0.91, 0.72]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",4/15/2022,"[4737, 4029, 4073]","[[0.92, 0.71, 0.92], [0.92, 0.92, 0.92], [0.76, 0.72, 0.82]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",4/16/2022,"[3497, 1174, 3082]","[[0.75, 0.88, 0.83], [0.89, 0.77, 0.77], [0.91, 0.81, 0.79]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",4/17/2022,"[1630, 3046, 2106]","[[0.83, 0.84, 0.79], [0.92, 0.8, 0.89], [0.81, 0.83, 0.75]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",4/18/2022,"[1643, 2391, 1044]","[[0.93, 0.84, 0.7], [0.85, 0.86, 0.95], [0.92, 0.86, 0.73]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",4/19/2022,"[4138, 3656, 2161]","[[0.88, 0.79, 0.91], [0.72, 0.83, 0.94], [0.71, 0.78, 0.72]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",4/20/2022,"[3039, 1379, 1551]","[[0.88, 0.9, 0.76], [0.7, 0.87, 0.79], [0.92, 0.82, 0.7]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",4/21/2022,"[3929, 2555, 4638]","[[0.85, 0.71, 0.84], [0.88, 0.82, 0.7], [0.91, 0.88, 0.93]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",4/22/2022,"[2913, 4535, 4887]","[[0.84, 0.84, 0.77], [0.72, 0.91, 0.74], [0.85, 0.83, 0.73]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",4/23/2022,"[4617, 2535, 3912]","[[0.74, 0.91, 0.74], [0.76, 0.79, 0.79], [0.95, 0.77, 0.7]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",4/24/2022,"[1541, 1982, 3574]","[[0.94, 0.81, 0.88], [0.78, 0.88, 0.71], [0.75, 0.79, 0.79]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",4/25/2022,"[2787, 1161, 4734]","[[0.72, 0.81, 0.77], [0.88, 0.89, 0.72], [0.71, 0.9, 0.86]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",4/26/2022,"[1132, 3713, 1919]","[[0.72, 0.82, 0.87], [0.74, 0.81, 0.8], [0.79, 0.74, 0.78]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",4/27/2022,"[3730, 3026, 3219]","[[0.77, 0.92, 0.72], [0.73, 0.89, 0.83], [0.77, 0.73, 0.94]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",4/28/2022,"[1979, 2522, 4843]","[[0.87, 0.72, 0.89], [0.76, 0.92, 0.76], [0.71, 0.86, 0.89]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",4/29/2022,"[4902, 3081, 1923]","[[0.79, 0.94, 0.92], [0.91, 0.85, 0.89], [0.87, 0.88, 0.92]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",4/30/2022,"[1247, 3363, 2710]","[[0.87, 0.73, 0.9], [0.77, 0.9, 0.76], [0.87, 0.94, 0.94]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/1/2022,"[2462, 3962, 4742]","[[0.88, 0.94, 0.82], [0.91, 0.8, 0.84], [0.74, 0.86, 0.79]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/2/2022,"[3928, 1690, 1812]","[[0.84, 0.72, 0.74], [0.75, 0.76, 0.74], [0.71, 0.8, 0.74]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/3/2022,"[2426, 4293, 4817]","[[0.71, 0.76, 0.82], [0.81, 0.75, 0.75], [0.93, 0.74, 0.77]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/4/2022,"[3453, 2094, 1659]","[[0.74, 0.76, 0.8], [0.89, 0.81, 0.77], [0.74, 0.71, 0.81]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/5/2022,"[1347, 1492, 4366]","[[0.84, 0.71, 0.81], [0.78, 0.77, 0.87], [0.92, 0.72, 0.77]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/6/2022,"[1383, 4934, 4376]","[[0.81, 0.84, 0.71], [0.76, 0.89, 0.73], [0.86, 0.73, 0.78]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/7/2022,"[3326, 2649, 3874]","[[0.94, 0.87, 0.76], [0.86, 0.74, 0.86], [0.84, 0.92, 0.81]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/8/2022,"[2873, 4347, 3043]","[[0.77, 0.87, 0.82], [0.73, 0.87, 0.76], [0.94, 0.89, 0.8]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/9/2022,"[3646, 3657, 3544]","[[0.93, 0.88, 0.72], [0.78, 0.9, 0.9], [0.91, 0.9, 0.78]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/10/2022,"[1662, 4968, 4526]","[[0.76, 0.79, 0.77], [0.92, 0.73, 0.91], [0.9, 0.77, 0.92]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/11/2022,"[4234, 4252, 1588]","[[0.84, 0.89, 0.88], [0.9, 0.82, 0.94], [0.72, 0.89, 0.71]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/12/2022,"[3082, 2717, 1628]","[[0.75, 0.79, 0.95], [0.74, 0.72, 0.77], [0.88, 0.71, 0.73]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/13/2022,"[1985, 2605, 2083]","[[0.95, 0.83, 0.8], [0.9, 0.88, 0.79], [0.73, 0.73, 0.72]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/14/2022,"[3991, 4815, 3318]","[[0.93, 0.8, 0.92], [0.95, 0.78, 0.73], [0.86, 0.77, 0.78]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/15/2022,"[1498, 1002, 3825]","[[0.79, 0.89, 0.88], [0.8, 0.85, 0.8], [0.84, 0.9, 0.82]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/16/2022,"[2441, 4542, 2032]","[[0.88, 0.7, 0.95], [0.83, 0.82, 0.87], [0.9, 0.86, 0.78]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/17/2022,"[4400, 1908, 4607]","[[0.84, 0.72, 0.78], [0.82, 0.87, 0.74], [0.72, 0.75, 0.82]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/18/2022,"[1390, 3676, 2842]","[[0.83, 0.73, 0.74], [0.83, 0.89, 0.81], [0.79, 0.94, 0.7]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/19/2022,"[2284, 1092, 3238]","[[0.8, 0.84, 0.94], [0.89, 0.89, 0.7], [0.79, 0.82, 0.76]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/20/2022,"[2669, 2707, 1561]","[[0.78, 0.9, 0.88], [0.76, 0.94, 0.88], [0.9, 0.9, 0.88]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/21/2022,"[3474, 2174, 4842]","[[0.71, 0.7, 0.85], [0.81, 0.94, 0.87], [0.84, 0.95, 0.87]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/22/2022,"[2867, 4249, 2559]","[[0.72, 0.77, 0.71], [0.79, 0.79, 0.88], [0.88, 0.76, 0.76]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/23/2022,"[2787, 1448, 3753]","[[0.95, 0.81, 0.77], [0.93, 0.8, 0.87], [0.8, 0.94, 0.84]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/24/2022,"[4111, 3546, 4184]","[[0.85, 0.91, 0.74], [0.8, 0.76, 0.82], [0.77, 0.76, 0.8]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/25/2022,"[4652, 3908, 3816]","[[0.79, 0.77, 0.79], [0.86, 0.85, 0.9], [0.89, 0.78, 0.94]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/26/2022,"[3882, 1903, 3823]","[[0.9, 0.87, 0.87], [0.77, 0.87, 0.7], [0.83, 0.78, 0.9]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/27/2022,"[1490, 1696, 3445]","[[0.79, 0.85, 0.76], [0.73, 0.93, 0.81], [0.77, 0.87, 0.85]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/28/2022,"[2088, 2257, 3098]","[[0.87, 0.78, 0.8], [0.75, 0.75, 0.71], [0.71, 0.92, 0.75]]",Nationwide
Model 1,Multi-Class,"[1,2,3]",5/29/2022,"[3884, 1328, 2424]","[[0.72, 0.79, 0.73], [0.77, 0.73, 0.93], [0.79, 0.77, 0.76]]",Nationwide
Model 2,Classification,[1],1/15/2021,[2674],"[[0.83, 0.81, 0.91]]",State Farm
Model 2,Classification,[1],1/16/2021,[2484],"[[0.93, 0.89, 0.88]]",State Farm
Model 2,Classification,[1],1/17/2021,[4369],"[[0.8, 0.83, 0.79]]",State Farm
Model 2,Classification,[1],1/18/2021,[4874],"[[0.82, 0.86, 0.8]]",State Farm
Model 2,Classification,[1],1/19/2021,[1071],"[[0.75, 0.9, 0.79]]",State Farm
Model 2,Classification,[1],1/20/2021,[4430],"[[0.92, 0.72, 0.76]]",State Farm
Model 2,Classification,[1],1/21/2021,[2413],"[[0.84, 0.7, 0.75]]",State Farm
Model 2,Classification,[1],1/22/2021,[3453],"[[0.82, 0.81, 0.76]]",State Farm
Model 2,Classification,[1],1/23/2021,[2967],"[[0.71, 0.88, 0.76]]",State Farm
Model 2,Classification,[1],1/24/2021,[3013],"[[0.88, 0.85, 0.82]]",State Farm
Model 2,Classification,[1],1/25/2021,[2898],"[[0.79, 0.77, 0.78]]",State Farm
Model 2,Classification,[1],1/26/2021,[1504],"[[0.89, 0.85, 0.83]]",State Farm
Model 2,Classification,[1],1/27/2021,[2712],"[[0.75, 0.78, 0.81]]",State Farm
Model 2,Classification,[1],1/28/2021,[1678],"[[0.94, 0.93, 0.88]]",State Farm
Model 2,Classification,[1],1/29/2021,[3838],"[[0.74, 0.9, 0.75]]",State Farm
Model 2,Classification,[1],1/30/2021,[4404],"[[0.73, 0.88, 0.84]]",State Farm
Model 2,Classification,[1],1/31/2021,[3767],"[[0.76, 0.82, 0.78]]",State Farm
Model 2,Classification,[1],2/1/2021,[2808],"[[0.92, 0.77, 0.94]]",State Farm
Model 2,Classification,[1],2/2/2021,[4891],"[[0.76, 0.94, 0.76]]",State Farm
Model 2,Classification,[1],2/3/2021,[4928],"[[0.77, 0.79, 0.89]]",State Farm
Model 2,Classification,[1],2/4/2021,[4057],"[[0.88, 0.84, 0.93]]",State Farm
